run_id,commit_sha,commit_message,status,workflow_duration,job_name,job_duration,step_name,step_status,step_started_at,step_completed_at,step_duration_seconds,test_count,test_failures,timestamp,artifact_size,failure_type
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Set up job,completed,2026-06-06T01:29:51Z,2026-06-06T01:29:52Z,1.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Checkout código,completed,2026-06-06T01:29:52Z,2026-06-06T01:29:52Z,0.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Setup Python,completed,2026-06-06T01:29:52Z,2026-06-06T01:29:53Z,1.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Instalar dependências,completed,2026-06-06T01:29:53Z,2026-06-06T01:30:11Z,18.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Lint com flake8,completed,2026-06-06T01:30:11Z,2026-06-06T01:30:11Z,0.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Executar testes,completed,2026-06-06T01:30:11Z,2026-06-06T01:30:17Z,6.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Gerar artefato com resultados,completed,2026-06-06T01:30:17Z,2026-06-06T01:30:17Z,0.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Post Setup Python,completed,2026-06-06T01:30:17Z,2026-06-06T01:30:18Z,1.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Post Checkout código,completed,2026-06-06T01:30:18Z,2026-06-06T01:30:18Z,0.0,0,0,2026-06-06T01:29:48Z,428,
27048793074,777111b,exp: gerar arquivo grande 10mb,success,2026-06-06T01:30:20Z,build-and-test,2026-06-06T01:30:19Z,Complete job,completed,2026-06-06T01:30:18Z,2026-06-06T01:30:18Z,0.0,0,0,2026-06-06T01:29:48Z,428,
27048669674,901d400,exp: erro nos testes e lint,failure,2026-06-06T01:24:47Z,build-and-test,2026-06-06T01:24:46Z,Set up job,completed,2026-06-06T01:24:24Z,2026-06-06T01:24:25Z,1.0,,1,2026-06-06T01:24:21Z,0,lint_failure
27048669674,901d400,exp: erro nos testes e lint,failure,2026-06-06T01:24:47Z,build-and-test,2026-06-06T01:24:46Z,Checkout código,completed,2026-06-06T01:24:25Z,2026-06-06T01:24:26Z,1.0,,1,2026-06-06T01:24:21Z,0,lint_failure
27048669674,901d400,exp: erro nos testes e lint,failure,2026-06-06T01:24:47Z,build-and-test,2026-06-06T01:24:46Z,Setup Python,completed,2026-06-06T01:24:26Z,2026-06-06T01:24:28Z,2.0,,1,2026-06-06T01:24:21Z,0,lint_failure
27048669674,901d400,exp: erro nos testes e lint,failure,2026-06-06T01:24:47Z,build-and-test,2026-06-06T01:24:46Z,Instalar dependências,completed,2026-06-06T01:24:28Z,2026-06-06T01:24:44Z,16.0,,1,2026-06-06T01:24:21Z,0,lint_failure
